id,name,sku,cat,uzanti
2333331,YOF-20,KAPILAR_0032_YOF-20,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0032_YOF-20.png
2333332,AYKA-79,KAPILAR_0033_AYKA-79,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0033_AYKA-79.png
2333333,NORM-150,KAPILAR_0033_NORM-150,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0033_NORM-150.png
2333334,YOF-19,KAPILAR_0033_YOF-19,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0033_YOF-19.png
2333335,AYKA-78,KAPILAR_0034_AYKA-78,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0034_AYKA-78.png
2333336,NORM-149,KAPILAR_0034_NORM-149,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0034_NORM-149.png
2333337,YOF-18,KAPILAR_0034_YOF-18,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0034_YOF-18.png
2333338,AYKA-77,KAPILAR_0035_AYKA-77,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0035_AYKA-77.png
2333339,NORM-148,KAPILAR_0035_NORM-148,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0035_NORM-148.png
2333340,YOF-17,KAPILAR_0035_YOF-17,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0035_YOF-17.png
2333341,AYKA-76,KAPILAR_0036_AYKA-76,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0036_AYKA-76.png
2333342,NORM-147,KAPILAR_0036_NORM-147,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0036_NORM-147.png
2333343,YOF-16,KAPILAR_0036_YOF-16,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0036_YOF-16.png
2333344,AYKA-75,KAPILAR_0037_AYKA-75,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0037_AYKA-75.png
2333345,NORM-146,KAPILAR_0037_NORM-146,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0037_NORM-146.png
2333346,YOF-15,KAPILAR_0037_YOF-15,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0037_YOF-15.png
2333347,AYKA-74,KAPILAR_0038_AYKA-74,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0038_AYKA-74.png
2333348,NORM-145,KAPILAR_0038_NORM-145,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0038_NORM-145.png
2333349,YOF-14,KAPILAR_0038_YOF-14,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0038_YOF-14.png
2333350,AYKA-73,KAPILAR_0039_AYKA-73,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0039_AYKA-73.png
2333351,NORM-144,KAPILAR_0039_NORM-144,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0039_NORM-144.png
2333352,YOF-13,KAPILAR_0039_YOF-13,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0039_YOF-13.png
2333353,AYKA-72,KAPILAR_0040_AYKA-72,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0040_AYKA-72.png
2333354,NORM-143,KAPILAR_0040_NORM-143,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0040_NORM-143.png
2333355,YOF-12,KAPILAR_0040_YOF-12,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0040_YOF-12.png
2333356,AYKA-71,KAPILAR_0041_AYKA-71,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0041_AYKA-71.png
2333357,NORM-142,KAPILAR_0041_NORM-142,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0041_NORM-142.png
2333358,YOF-11,KAPILAR_0041_YOF-11,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0041_YOF-11.png
2333359,AYKA-70,KAPILAR_0042_AYKA-70,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0042_AYKA-70.png
2333360,NORM-141,KAPILAR_0042_NORM-141,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0042_NORM-141.png
2333361,YOF-10,KAPILAR_0042_YOF-10,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0042_YOF-10.png
2333362,AYKA-69,KAPILAR_0043_AYKA-69,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0043_AYKA-69.png
2333363,NORM-140,KAPILAR_0043_NORM-140,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0043_NORM-140.png
2333364,YOF-9,KAPILAR_0043_YOF-9,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0043_YOF-9.png
2333365,AYKA-68,KAPILAR_0044_AYKA-68,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0044_AYKA-68.png
2333366,NORM-139,KAPILAR_0044_NORM-139,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0044_NORM-139.png
2333367,YOF-8,KAPILAR_0044_YOF-8,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0044_YOF-8.png
2333368,AYKA-67,KAPILAR_0045_AYKA-67,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0045_AYKA-67.png
2333369,NORM-138,KAPILAR_0045_NORM-138,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0045_NORM-138.png
2333370,YOF-7,KAPILAR_0045_YOF-7,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0045_YOF-7.png
2333371,AYKA-66,KAPILAR_0046_AYKA-66,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0046_AYKA-66.png
2333372,NORM-137,KAPILAR_0046_NORM-137,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0046_NORM-137.png
2333373,YOF-6,KAPILAR_0046_YOF-6,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0046_YOF-6.png
2333374,AYKA-65,KAPILAR_0047_AYKA-65,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0047_AYKA-65.png
2333375,NORM-136,KAPILAR_0047_NORM-136,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0047_NORM-136.png
2333376,YOF-5,KAPILAR_0047_YOF-5,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0047_YOF-5.png
2333377,AYKA-64,KAPILAR_0048_AYKA-64,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0048_AYKA-64.png
2333378,NORM-135,KAPILAR_0048_NORM-135,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0048_NORM-135.png
2333379,YOF-4,KAPILAR_0048_YOF-4,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0048_YOF-4.png
2333380,AYKA-63,KAPILAR_0049_AYKA-63,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0049_AYKA-63.png
2333381,NORM-134,KAPILAR_0049_NORM-134,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0049_NORM-134.png
2333382,YOF-3,KAPILAR_0049_YOF-3,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0049_YOF-3.png
2333383,AYKA-62,KAPILAR_0050_AYKA-62,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0050_AYKA-62.png
2333384,NORM-133,KAPILAR_0050_NORM-133,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0050_NORM-133.png
2333385,YOF-2,KAPILAR_0050_YOF-2,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0050_YOF-2.png
2333386,AYKA-61,KAPILAR_0051_AYKA-61,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0051_AYKA-61.png
2333387,NORM-132,KAPILAR_0051_NORM-132,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0051_NORM-132.png
2333388,YOF-1,KAPILAR_0051_YOF-1,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0051_YOF-1.png
2333389,AYKA-60,KAPILAR_0052_AYKA-60,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0052_AYKA-60.png
2333390,NORM-131,KAPILAR_0052_NORM-131,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0052_NORM-131.png
2333391,AYKA-59,KAPILAR_0053_AYKA-59,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0053_AYKA-59.png
2333392,NORM-130,KAPILAR_0053_NORM-130,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0053_NORM-130.png
2333393,AYKA-58,KAPILAR_0054_AYKA-58,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0054_AYKA-58.png
2333394,NORM-129,KAPILAR_0054_NORM-129,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0054_NORM-129.png
2333395,AYKA-57,KAPILAR_0055_AYKA-57,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0055_AYKA-57.png
2333396,NORM-128,KAPILAR_0055_NORM-128,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0055_NORM-128.png
2333397,AYKA-56,KAPILAR_0056_AYKA-56,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0056_AYKA-56.png
2333398,NORM-127,KAPILAR_0056_NORM-127,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0056_NORM-127.png
2333399,AYKA-55,KAPILAR_0057_AYKA-55,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0057_AYKA-55.png
2333400,NORM-126,KAPILAR_0057_NORM-126,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0057_NORM-126.png
2333401,AYKA-54,KAPILAR_0058_AYKA-54,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0058_AYKA-54.png
2333402,NORM-125,KAPILAR_0058_NORM-125,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0058_NORM-125.png
2333403,AYKA-53,KAPILAR_0059_AYKA-53,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0059_AYKA-53.png
2333404,NORM-124,KAPILAR_0059_NORM-124,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0059_NORM-124.png
2333405,AYKA-52,KAPILAR_0060_AYKA-52,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0060_AYKA-52.png
2333406,NORM-123,KAPILAR_0060_NORM-123,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0060_NORM-123.png
2333407,AYKA-51,KAPILAR_0061_AYKA-51,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0061_AYKA-51.png
2333408,NORM-122,KAPILAR_0061_NORM-122,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0061_NORM-122.png
2333409,AYKA-50,KAPILAR_0062_AYKA-50,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0062_AYKA-50.png
2333410,NORM-121,KAPILAR_0062_NORM-121,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0062_NORM-121.png
2333411,AYKA-49,KAPILAR_0063_AYKA-49,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0063_AYKA-49.png
2333412,NORM-120,KAPILAR_0063_NORM-120,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0063_NORM-120.png
2333413,AYKA-48,KAPILAR_0064_AYKA-48,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0064_AYKA-48.png
2333414,NORM-119,KAPILAR_0064_NORM-119,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0064_NORM-119.png
2333415,AYKA-47,KAPILAR_0065_AYKA-47,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0065_AYKA-47.png
2333416,NORM-118,KAPILAR_0065_NORM-118,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0065_NORM-118.png
2333417,AYKA-46,KAPILAR_0066_AYKA-46,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0066_AYKA-46.png
2333418,NORM-117,KAPILAR_0066_NORM-117,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0066_NORM-117.png
2333419,AYKA-45,KAPILAR_0067_AYKA-45,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0067_AYKA-45.png
